Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API_AccessToken,,,,01-10-2025 10:07:44,01-10-2025 10:07:54,9.787s,ERROR
,,,,,,,
Test Cases/API_Testing/REST_API_Testing/TC04_getAccessToken_Api,,,,01-10-2025 10:07:45,01-10-2025 10:07:50,4.783s,PASSED
"DATA BINDING - {""(Default) maste..."":""Include/Data Files/MasterSchema.json"",""(Default) jsonF..."":""Include/Data Files/login_data.json"",""(Default) apiBa..."":""apiBaseUrl"",""(Default) acces..."":""accessTokenUrl""}",,,,,,,
Start listener action : beforeTestCase,,,,01-10-2025 10:07:45,01-10-2025 10:07:45,0.168s,PASSED
"logInfo(""Reading payload from JSON file..."")",,,,01-10-2025 10:07:45,01-10-2025 10:07:45,0.006s,PASSED
"payLoad = JsonOutput.toJson(JsonFileReader.getSectionData(""postPayload"", jsonDataFilePath))",,,,01-10-2025 10:07:45,01-10-2025 10:07:46,0.324s,PASSED
"logInfo(""Payload prepared: "" + payLoad)",,,,01-10-2025 10:07:46,01-10-2025 10:07:46,0.008s,PASSED
"logInfo(""Sending POST request to /login endpoint..."")",,,,01-10-2025 10:07:46,01-10-2025 10:07:46,0.006s,PASSED
"baseUrl = GlobalAccessor.getProfileVariable(accessToken, apiBaseUrl)",,,,01-10-2025 10:07:46,01-10-2025 10:07:46,0.162s,PASSED
"response = ApiKeywords.sendPost(baseUrl, ""login"", payLoad)",,,,01-10-2025 10:07:46,01-10-2025 10:07:49,2.998s,PASSED
"logInfo(""Response received with status: "" + response.getStatusCode())",,,,01-10-2025 10:07:49,01-10-2025 10:07:49,0.017s,PASSED
responseBodyContent = response.getResponseBodyContent(),,,,01-10-2025 10:07:49,01-10-2025 10:07:49,0.004s,PASSED
"logInfo(""Response body content:
"" + responseBodyContent)",,,,01-10-2025 10:07:49,01-10-2025 10:07:49,0.007s,PASSED
"logInfo(""Validating response against accessTokenSchema..."")",,,,01-10-2025 10:07:49,01-10-2025 10:07:49,0.004s,PASSED
